Year,Month,Day,TSU,EQ,Latitude,Longitude,VEI,DEATHS
1989,8,26,,,31.93,130.87,,2
1990,2,2,,,56.653,161.36,3,
1990,2,10,,,-7.93,112.308,4,32
1990,3,26,,,32.88,131.1,2,1
1990,4,18,,,32.88,131.1,2,1
1990,5,29,,,-15.78,-71.85,3,
1990,6,24,,,-4.271,152.203,,6
1990,7,19,,,14.756,-91.552,3,4
1990,10,19,,,32.88,131.1,2,1
1990,11,21,,,-1.52,29.25,,1
1990,11,25,,,-7.93,112.308,,4
1991,6,3,,,32.75,130.3,1,43
1991,6,15,,EQ,15.13,120.35,6,350
1991,6,,,,52.453,158.195,,1
1991,7,3,,,-11.75,43.38,2,
1991,8,8,,,-45.9,-72.97,5,
1991,10,24,,,1.358,124.792,1,1
1991,12,14,,,37.734,15.004,2,
1992,1,21,,,2.78,125.48,2,2
1992,3,18,,,-7.2,109.92,,1
1992,4,10,,,12.506,-86.702,3,11
1992,5,11,,,2.78,125.48,1,6
1992,7,5,,,-0.381,100.473,2,1
1992,7,12,,,15.13,120.35,1,6
1992,9,17,,,61.3,-152.25,4,1
1992,,,,,-8.108,112.92,3,3
1993,1,14,,,1.22,-77.37,2,9
1993,1,21,,,-7.125,128.675,,1
1993,2,2,,,13.257,123.685,2,75
1993,3,12,,,-0.171,-78.598,1,2
1993,4,19,,,19.425,-155.292,,1
1993,6,13,,,-6.102,105.423,1,1
1993,6,23,,,32.75,130.3,1,1
1993,6,26,,,15.13,120.35,1,4
1993,10,4,,,15.13,120.35,,14
1994,1,15,,,-19.52,169.425,3,1
1994,2,3,,,-8.108,112.92,3,6
1994,5,29,,,32.88,131.1,1,1
1994,6,6,,,2.92,-76.05,,
1994,9,19,TSU,,-4.271,152.203,3,4
1994,11,3,,,-8.42,116.47,3,31
1994,11,22,,,-7.542,110.442,3,60
1995,2,4,,,-19.52,169.425,3,2
1995,2,11,,,36.22,137.58,1,4
1995,4,2,,,14.95,-24.35,2,
1995,4,7,,,14.381,-90.601,3,1
1995,5,15,,,-8.758,121.83,,1
1995,9,6,,,6.12,124.892,,60
1996,1,2,TSU,,54.05,159.43,2,
1996,4,30,,,19.023,-98.622,3,5
1996,8,10,,,10.412,123.132,2,3
1996,9,27,,,11.446,-85.515,,6
1996,9,30,,,64.42,-17.33,3,
1996,12,3,,,-4.1,145.061,3,13
1997,1,14,,,-7.542,110.442,2,6
1997,4,17,,,2.78,125.48,1,3
1997,6,25,,,16.72,-62.18,3,22
1997,7,12,,,40.65,140.88,,3
1997,8,1,,,16.72,-62.18,3,2
1997,9,2,,,-8.108,112.92,3,2
1997,9,15,,,37.62,140.28,,4
1997,11,23,,,32.88,131.1,,2
1997,12,26,TSU,,16.72,-62.18,,
1998,4,28,,,19.425,-155.292,,1
1998,7,,,,-7.93,112.308,,10
1998,10,30,,,12.702,-87.004,,1620
1999,1,20,TSU,,16.72,-62.18,3,
1999,5,21,,,14.473,-90.88,2,
1999,8,15,,,56.653,161.36,4,
1999,10,5,,,-0.171,-78.598,3,2
1999,10,16,,,-1.467,-78.442,3,1
2000,6,27,TSU,EQ,34.08,139.53,2,
2000,7,27,,,-8.108,112.92,3,2
2000,8,23,,,10.463,-84.703,3,2
2000,11,3,,,19.425,-155.292,,2
2000,11,,,,-7.542,110.442,2,1
2001,5,14,,,37.734,15.004,3,1
2001,7,26,,,37.734,15.004,2,
2001,8,5,,,-7.542,110.442,2,2
2001,10,20,,,38.789,15.213,2,1
2002,1,3,,,2.78,125.48,3,
2002,1,17,,,-1.52,29.25,1,100
2002,8,28,,EQ,37.734,15.004,3,
2002,11,3,,,-0.078,-77.656,4,
2002,12,30,TSU,,38.789,15.213,,
2002,,,,,-8.108,112.92,3,3
2003,7,12,TSU,,16.72,-62.18,3,
2004,1,29,,,-8.67,122.45,1,1
2004,6,8,,,-7.942,112.95,2,2
2004,10,24,,,-4.1,145.061,4,5
2005,1,27,,,-4.1,145.061,4,1
2005,10,1,,,13.853,-89.63,3,2
2005,11,24,,,-11.75,43.38,,
2006,3,17,,,-29.27,-177.92,,1
2006,5,20,TSU,,16.72,-62.18,2,
2006,6,7,,,12.77,124.05,2,1
2006,6,14,,,-7.542,110.442,1,2
2006,7,18,,,-1.467,-78.442,3,1
2006,8,17,,,-1.467,-78.442,3,5
2006,11,30,,,13.257,123.685,1,1266
2007,3,,,,-4.1,145.061,4,4
2007,4,18,,,2.92,-76.05,,
2007,7,7,,,-6.72,106.73,,6
2007,9,30,,,15.7,41.742,,7
2008,5,2,,,-42.833,-72.646,,1
2008,8,8,TSU,,52.18,-175.5,3,
2008,8,22,,,-1.467,-78.442,3,2
2008,11,20,,,2.92,-76.05,,10
2009,3,23,,,60.48,-152.75,,
2009,11,30,,,19.425,-155.292,,
2010,1,,,,-1.467,-78.442,3,
2010,3,31,,,63.63,-19.62,2,2
2010,5,27,,,14.381,-90.601,1,1
2010,5,29,TSU,EQ,16.708,145.78,,
2010,8,6,,,2.78,125.48,3,4
2010,8,30,,,3.17,98.392,,2
2010,10,26,,,-7.542,110.442,,367
2010,11,,,,-1.467,-78.442,3,
2010,12,28,,,-7.942,112.95,,
2011,1,3,,,-7.542,110.442,,1
2011,1,28,,,31.93,130.87,,
2011,2,23,,,12.77,124.05,2,1
2011,3,18,,,2.78,125.48,,
2011,4,,,,-1.467,-78.442,4,
2011,6,4,,,-40.59,-72.117,4,
2011,6,22,,,13.37,41.7,3,31
2011,7,9,,,63.63,-19.05,,
2011,7,17,,,1.358,124.792,,1
2011,12,27,,,0.8,127.325,3,4
2012,2,10,,,19.425,-155.292,,
2012,3,2,,,19.425,-155.292,,
2012,12,12,,,55.83,160.33,,
2013,2,12,,,-7.542,110.442,,1
2013,2,,,,-8.32,121.708,,
2013,5,7,,,13.257,123.685,,5
2013,8,10,,,-8.32,121.708,3,5
2013,9,1,,,-16.355,-70.903,,
2013,9,4,,,31.58,130.67,,
2013,9,15,,,3.17,98.392,2,
2013,12,13,,,-38.12,176.5,,1
2014,2,1,,,3.17,98.392,,17
2014,2,13,,,-7.93,112.308,,7
2014,9,27,,,35.9,137.48,3,55
2014,11,10,,,19.425,-155.292,,
2014,11,23,,,14.95,-24.35,,
2014,12,18,,,0.8,127.325,,1
2015,2,20,,,3.17,98.392,,
2015,4,22,,,-41.326,-72.614,,
2015,5,7,,,2.78,125.48,,
2015,7,31,,,-4.1,145.061,2,
2015,10,16,,,3.17,98.392,,1
2015,10,,,,-38.12,176.5,,1
2016,5,9,,,3.17,98.392,,1
2016,5,21,,,3.17,98.392,,7
2016,6,9,,,44.43,-110.67,,1
2016,9,27,,,-8.42,116.47,,
2016,10,8,,,32.88,131.1,,
2017,3,15,,,37.734,15.004,,
2017,4,13,,,3.17,98.392,2,
2017,6,6,,,14.473,-90.88,2,
2017,7,1,,,-7.2,109.92,,8
2017,9,12,,,40.827,14.139,,3
2017,9,23,,,-15.4,167.83,,
2017,12,18,,,-7.542,110.442,,8
2017,12,27,,,3.17,98.392,,
2018,1,5,,,-3.62,144.62,,
2018,1,13,,,13.257,123.685,,
2018,1,23,,,36.62,138.55,,1
2018,2,1,,,19.425,-155.292,1,1
2018,2,9,TSU,,-3.62,144.62,,
2018,3,21,,,-8.058,114.242,,
2018,4,28,TSU,EQ,19.425,-155.292,1,
2018,4,,,,-15.4,167.83,3,4
2018,6,3,,,14.473,-90.88,2,165
2018,7,16,,,19.425,-155.292,,
2018,8,25,,,-4.1,145.061,4,
