Year,Month,Day,TSU,EQ,Latitude,Longitude,VEI,DEATHS
1711,12,11,,,3.67,125.5,3,3000
1712,1,15,,,64.63,-17.53,2,
1714,6,30,TSU,,40.821,14.426,,
1716,7,20,,,-7.93,112.308,2,
1716,9,24,TSU,EQ,14.002,120.993,4,
1716,10,5,,,64.63,-17.53,2,
1716,11,9,,,31.93,130.87,3,1
1717,2,7,,,31.93,130.87,3,1
1717,8,4,,,64.63,-17.53,3,
1717,8,27,,,14.473,-90.88,3,
1718,2,1,,,38.47,-28.4,2,2
1721,5,11,,,63.63,-19.05,5,
1721,6,22,,,36.4,138.53,1,15
1726,2,1,,,64.63,-17.53,1,
1727,8,3,,,64,-16.65,4,3
1729,2,1,,,64.63,-17.53,1,
1729,6,30,,,65.73,-16.78,2,
1730,9,1,,,29.03,-13.63,2,
1730,,,,,-8.125,114.042,3,
1730,,,,,55.12,-128.9,,
1737,5,20,,,40.821,14.426,2,2
1741,8,23,TSU,,41.5,139.37,4,
1742,6,15,,,-0.677,-78.436,3,
1742,12,9,,,-0.677,-78.436,3,
1749,8,11,TSU,EQ,14.002,120.993,3,
1753,10,15,,,64.42,-17.33,2,
1754,5,13,TSU,EQ,14.002,120.993,4,12
1755,10,17,,,63.63,-19.05,4,2
1757,7,9,,EQ,38.65,-28.08,0,
1760,,,,,0.32,127.4,4,2000
1762,,,,,56.057,160.638,2,
1766,4,5,,,63.98,-19.7,4,
1766,7,20,,,13.257,123.685,3,49
1768,4,4,,,-0.677,-78.436,4,
1772,5,9,TSU,,0.8,127.325,3,35
1772,8,12,,,-7.32,107.73,3,2957
1773,2,2,,,0.8,127.325,2,
1775,,,,,0.8,127.325,3,1300
1775,,,,,1.358,124.792,3,
1778,,,,,48.292,153.25,4,15
1779,8,8,,,40.821,14.426,2,
1779,11,8,,,31.58,130.67,4,153
1780,2,9,,,31.58,130.67,4,
1780,7,27,,,32.45,139.77,3,7
1780,9,9,TSU,,31.58,130.67,4,
1780,10,31,TSU,,31.58,130.67,,
1781,4,11,TSU,,31.58,130.67,4,23
1783,8,5,,,36.4,138.53,4,1491
1784,4,,,,64.42,-17.33,4,
1784,7,,,,-15.78,-71.85,,
1784,,,,,19.692,-155.87,0,
1785,4,18,,,32.45,139.77,3,135
1786,,,,,-7.2,109.92,2,38
1789,,,,,34.73,139.38,2,
1790,11,,,,19.425,-155.292,4,5405
1792,5,21,TSU,EQ,32.75,130.3,2,
1794,6,15,,,40.821,14.426,3,400
1800,6,24,,,38.65,-28.08,1,9
1800,10,8,,,-7.13,107.83,,
1800,10,30,,,13.257,123.685,2,
1800,,,,,46.2,-122.18,5,
1800,,,,,19.692,-155.87,0,2
1800,,,,,-9.23,33.78,2,
1801,7,,,,39.08,140.03,2,8
1803,7,4,,,36.4,138.53,2,
1803,11,7,,,36.4,138.53,2,
1804,,,,,42.7,141.33,3,
1805,8,11,,,40.821,14.426,2,4
1812,4,27,,,13.33,-61.18,4,56
1812,8,6,,,3.67,125.5,3,953
1813,5,,TSU,,40.821,14.426,2,
1814,2,1,,,13.257,123.685,4,1200
1815,4,10,TSU,,-8.25,118,7,11000
1816,7,5,,,32.88,131.1,2,1
1817,1,24,,,-8.058,114.242,2,
1817,,,,,-8.125,114.042,4,
1818,2,5,,,19.514,-103.62,4,
1819,,,TSU,,19.67,145.4,,
1820,3,1,TSU,EQ,54.52,-164.65,2,
1820,6,11,,,-4.525,129.871,2,
1822,3,9,,,42.53,140.83,4,50
1822,10,8,,,-7.25,108.05,5,4011
1822,12,27,,,-7.542,110.442,3,100
1823,2,,,,19.425,-155.292,0,
1824,,,,,54.75,-163.97,3,
1825,,,,,-5.83,154.98,,
1826,10,11,,,-7.2,109.92,2,
1826,10,11,,,-7.93,112.308,3,
1826,10,,,,32.88,131.1,2,
1827,6,27,TSU,EQ,53.255,158.83,2,
1827,8,9,,,53.255,158.83,2,
1829,,,,,-7.13,107.83,2,
1832,11,1,,,37.734,15.004,2,
1832,12,25,,,-7.542,110.442,3,32
1833,11,24,,,-3.52,102.62,2,126
1835,1,20,,,12.98,-87.57,5,
1835,11,1,,,-4.525,129.871,,
1837,9,,TSU,EQ,4.914,96.329,,
1838,2,26,,,0.8,127.325,2,4
1839,2,12,TSU,,-33.62,-76.83,2,
1840,2,2,TSU,EQ,0.8,127.325,2,
1840,5,30,TSU,,19.425,-155.292,0,
1840,7,2,,,39.7,44.28,3,1900
1840,,,,,-10.38,165.8,3,
1840,,,,,-9.13,159.82,3,
1841,4,,,,30.43,130.22,2,
1843,2,8,TSU,,17.37,-62.8,0,
1843,2,17,TSU,,16.05,-61.67,,
1843,8,,,,-8,113.342,2,4
1843,11,17,,,37.734,15.004,2,56
1845,2,8,TSU,EQ,1.108,124.725,2,
1845,2,19,,,4.895,-75.322,3,1000
1845,9,2,,,63.98,-19.7,4,
1846,5,7,,,-38.82,176,,63
1846,5,27,,,-6.77,107.6,2,
1846,11,18,,,41.8,141.17,1,
1847,4,9,,,14.95,-24.35,2,
1847,12,4,,,-7.2,109.92,2,
1848,5,16,,,-7.93,112.308,2,21
1850,,,,,-4.271,152.203,2,
1853,6,24,,,-15.6,-175.63,0,25
1853,7,13,,,13.257,123.685,3,34
1853,10,29,TSU,,24,121.83,2,
1854,2,18,,,56.653,161.36,5,
