Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time
Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1
Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,1666,Stratovolcano,Historical,D1
Fayal,Azores,Portugal,38.6,-28.73,1043,Stratovolcano,Historical,D2
Fentale,Africa-NE,Ethiopia,8.975,39.93,2007,Stratovolcano,Historical,D3
Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,Historical,D1
"Fournaise, Piton de la",Indian O-W,Reunion,-21.229,55.713,2631,Shield volcano,Historical,D1
Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1
Fuji,Honshu-Japan,Japan,35.35,138.73,3776,Stratovolcano,Historical,D4
Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,Historical,D5
Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,Historical,D1
Galunggung,Java,Indonesia,-7.25,108.05,2168,Stratovolcano,Historical,D1
Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1
Gamkonora,Halmahera-Indonesia,Indonesia,1.375,127.52,1635,Stratovolcano,Historical,D1
Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,Historical,D1
Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1
Guntur,Java,Indonesia,-7.13,107.83,2249,Complex volcano,Historical,D3
Hachijo-jima,Izu Is-Japan,Japan,33.13,139.77,854,Stratovolcano,Historical,D5
Hakkoda Group,Honshu-Japan,Japan,40.65,140.88,1585,Stratovolcano,Holocene,U
Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,Radiocarbon,D7
Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1
Hood,US-Oregon,United States,45.374,-121.694,3426,Stratovolcano,Historical,D3
Hualalai,Hawaiian Is,United States,19.692,-155.87,2523,Shield volcano,Historical,D3
Huaynaputina,Peru,Peru,-16.608,-70.85,4850,Stratovolcano,Historical,D5
"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1
Huila,Colombia,Colombia,2.92,-76.05,5365,Stratovolcano,Historical,D5
Ijen,Java,Indonesia,-8.058,114.242,2799,Stratovolcano,Historical,D1
Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,Historical,D1
Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,Historical,D3
Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,Historical,D1
Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,Historical,D6
Iwo-Tori-shima,Ryukyu Is,Japan,27.85,128.25,217,Complex volcano,Historical,D1
Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,637,Stratovolcano,Historical,D1
Izalco,El Salvador,El Salvador,13.813,-89.633,1950,Stratovolcano,Historical,D1
Kaba,Sumatra,Indonesia,-3.52,102.62,1952,Stratovolcano,Historical,D2
Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,Holocene,U
Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1
Karkar,New Guinea-NE of,Papua New Guinea,-4.649,145.964,1839,Stratovolcano,Historical,D1
Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,Historical,D1
Karymsky,Kamchatka,Russia,54.05,159.43,1536,Stratovolcano,Historical,D1
Kasatochi,Aleutian Is,United States,52.18,-175.5,314,Stratovolcano,Historical,D1
Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2
Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-9.02,157.95,-20,Submarine volcano,Historical,D1
Kelimutu,Lesser Sunda Is,Indonesia,-8.758,121.83,1640,Complex volcano,Historical,D1
Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,D1
Kharimkotan,Kuril Is,Russia,49.12,154.508,1145,Stratovolcano,Historical,D2
Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,-177,Submarine volcano,Historical,D1
Kieyo,Africa-E,Tanzania,-9.23,33.78,2175,Stratovolcano,Historical,D3
Kikai,Ryukyu Is,Japan,30.78,130.28,717,Caldera,Historical,D1
Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1
Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical,D1
Kliuchevskoi,Kamchatka,Russia,56.057,160.638,4835,Stratovolcano,Historical,D1
Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,Historical,D1
Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,Historical,D1
Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,Historical,D1
Krisuvik,Iceland-SW,Iceland,63.93,-22.1,379,Crater rows,Historical,D6
Ksudach,Kamchatka,Russia,51.8,157.53,1079,Stratovolcano,Historical,D2
Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,649,Stratovolcano,Historical,D1
Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,Historical,D1
Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,Historical,D1
La Palma,Canary Is,Spain,28.58,-17.83,2426,Stratovolcano,Historical,D1
Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,Historical,D2
Lamongan,Java,Indonesia,-8,113.342,1651,Stratovolcano,Historical,D3
Lanzarote,Canary Is,Spain,29.03,-13.63,670,Fissure vent,Historical,D3
"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,Historical,D1
Lewotobi,Lesser Sunda Is,Indonesia,-8.53,122.775,1703,Stratovolcano,Historical,D1
Liamuiga,W Indies,St. Kitts & Nevis,17.37,-62.8,1156,Stratovolcano,Radiocarbon,D6
